Porosity,Facies
21,"mid braided"
21.3,"mid braided"
22.5,"mid braided"
23.7,"mid braided"
25.8,"mid braided"
28,"mid braided"
20.1,"mid braided"
21,"mid braided"
22.1,"mid braided"
23.4,"mid braided"
24.1,"mid braided"
25.5,"mid braided"
26,"mid braided"
20.8,"mid braided"
22.3,"mid braided"
24,"mid braided"
28.5,"mid braided"
21.3,"mid braided"
23.8,"mid braided"
25.5,"mid braided"
27,"mid braided"
21.8,"mid braided"
22.9,"mid braided"
24.5,"mid braided"
20,"mid braided"
21.3,"mid braided"
23,"mid braided"
23,"mid braided"
15,"mid braided"
16.6,"mid braided"
18.8,"mid braided"
19.2,"mid braided"
18.1,"mid braided"
19.2,"mid braided"
12.6,"mid braided"
16,"mid braided"
16.5,"mid braided"
18,"mid braided"
18.1,"mid braided"
19.4,"mid braided"
21.7,"mid braided"
12.8,"mid braided"
15.9,"mid braided"
17.7,"mid braided"
14,"mid braided"
16,"mid braided"
17.8,"mid braided"
30.8,"distal braided"
30.3,"distal braided"
29.2,"distal braided"
28.9,"distal braided"
27.7,"distal braided"
26.5,"distal braided"
24.5,"distal braided"
28.5,"distal braided"
28.3,"distal braided"
27.7,"distal braided"
26.8,"distal braided"
27,"distal braided"
27.2,"distal braided"
30,"distal braided"
25.8,"distal braided"
26.9,"distal braided"
28.6,"distal braided"
24,"distal braided"
25.5,"distal braided"
25.8,"distal braided"
26.4,"distal braided"
27,"distal braided"
28,"distal braided"
29.2,"distal braided"
29.5,"distal braided"
30.2,"distal braided"
23.3,"distal braided"
25.5,"distal braided"
25.8,"distal braided"
26.6,"distal braided"
27.4,"distal braided"
28,"distal braided"
18.3,"distal braided"
21,"distal braided"
22.7,"distal braided"
23.9,"distal braided"
24.8,"distal braided"
25.6,"distal braided"
26.6,"distal braided"
27.7,"distal braided"
25.4,"distal braided"
26.3,"distal braided"
27,"distal braided"
26.4,"distal braided"
27.7,"distal braided"
19.4,"distal braided"
21.6,"distal braided"
24,"distal braided"
24.9,"distal braided"
23,"distal braided"
24.1,"distal braided"
26.7,"distal braided"
23.7,"distal braided"
19,"distal braided"
20.9,"distal braided"
22,"distal fluvial"
24.8,"distal fluvial"
26.5,"distal fluvial"
22.9,"distal fluvial"
23.9,"distal fluvial"
24.8,"distal fluvial"
26.2,"distal fluvial"
23.7,"distal fluvial"
24.9,"distal fluvial"
25.5,"distal fluvial"
20.9,"distal fluvial"
22.6,"distal fluvial"
25.2,"distal fluvial"
26.2,"distal fluvial"
25.4,"distal fluvial"
26.1,"distal fluvial"
21.4,"distal fluvial"
22.2,"distal fluvial"
23.5,"distal fluvial"
24.5,"distal fluvial"
25.5,"distal fluvial"
21.1,"distal fluvial"
21.9,"distal fluvial"
23,"distal fluvial"
24,"distal fluvial"
24.6,"distal fluvial"
20.6,"distal fluvial"
21.9,"distal fluvial"
22.9,"distal fluvial"
23.8,"distal fluvial"
25.1,"distal fluvial"
22.2,"distal fluvial"
23,"distal fluvial"
24.7,"distal fluvial"
22.8,"distal fluvial"
21,"distal fluvial"
22,"distal fluvial"
22.2,"distal fluvial"
24.9,"distal fluvial"
20.3,"distal fluvial"
21.1,"distal fluvial"
22,"distal fluvial"
22.1,"distal fluvial"
20.2,"distal fluvial"
21.5,"distal fluvial"
22.1,"distal fluvial"
21,"distal fluvial"
24.1,"distal fluvial"
14,"distal fluvial"
19,"distal fluvial"
16.4,"distal fluvial"
18.5,"distal fluvial"
13.6,"distal fluvial"
15,"distal fluvial"
18,"distal fluvial"
19.1,"distal fluvial"
13.2,"distal fluvial"
16,"distal fluvial"
17.1,"distal fluvial"
19,"distal fluvial"
19.1,"distal fluvial"
16,"distal fluvial"
18.4,"distal fluvial"
19.2,"distal fluvial"
19.8,"distal fluvial"