RPC,Lithology,Vp,Rho
104818,sandstone,3045.6,2108.0
104893,sandstone,3000.6,2126.0
104652,sandstone,3363.6,2162.0
104752,sandstone,3195.3,2160.0
104598,sandstone,4237.5,2428.0
104601,sandstone,4319.1,2428.0
104617,sandstone,4533.0,2428.0
104700,sandstone,3538.5,2084.0
104674,sandstone,3524.7,2162.0
104678,sandstone,3565.2,2162.0
104657,sandstone,3442.8,2162.0
104845,sandstone,3352.2,2066.0
104666,sandstone,3340.2,2162.0
104649,sandstone,3318.9,2162.0
104711,sandstone,4392.0,2138.0
104777,sandstone,3380.1,2045.0
104827,sandstone,3085.2,2066.0
104683,sandstone,3617.1,2162.0
104712,sandstone,5406.0,2138.0
104701,sandstone,3620.7,2084.0
104581,sandstone,4017.0,2428.0
104654,sandstone,3400.5,2162.0
104604,sandstone,4349.4,2428.0
104814,sandstone,3045.6,2108.0
104756,sandstone,3206.7,2160.0
104828,sandstone,3096.6,2066.0
104615,sandstone,4541.4,2428.0
104817,sandstone,3019.5,2108.0
104687,sandstone,3113.4,2084.0
104608,sandstone,4364.7,2428.0
104612,sandstone,4558.2,2428.0
104643,sandstone,3155.1,2162.0
104694,sandstone,3361.5,2084.0
104575,sandstone,3627.9,2428.0
104676,sandstone,3596.1,2162.0
104579,sandstone,3534.3,2428.0
104653,sandstone,3381.9,2162.0
104664,sandstone,3149.7,2162.0
104813,sandstone,3012.3,2108.0
104890,sandstone,3000.6,2126.0
104753,sandstone,3252.9,2160.0
104584,sandstone,4166.1,2428.0
104685,sandstone,3675.9,2162.0
104580,sandstone,3836.1,2428.0
104689,sandstone,3343.5,2084.0
104770,sandstone,3020.1,2045.0
104600,sandstone,4237.5,2428.0
104619,sandstone,3991.2,2395.0
104644,sandstone,3050.7,2162.0
104826,sandstone,3047.7,2066.0
104843,sandstone,3207.0,2066.0
104621,sandstone,4223.1,2395.0
104622,sandstone,4319.1,2395.0
104634,sandstone,4575.0,2395.0
104706,sandstone,3690.6,2084.0
104669,sandstone,3437.1,2162.0
104856,sandstone,5917.0,2117.0
104830,sandstone,3190.8,2066.0
104692,sandstone,3579.0,2084.0
104624,sandstone,4467.6,2395.0
104593,sandstone,4411.5,2428.0
104594,sandstone,4443.3,2428.0
104616,sandstone,4600.5,2428.0
104585,sandstone,4017.0,2428.0
104609,sandstone,4451.4,2428.0
104755,sandstone,3292.8,2160.0
104824,sandstone,3053.1,2108.0
104673,sandstone,3495.0,2162.0
104591,sandstone,4395.9,2428.0
104586,sandstone,4259.4,2428.0
104645,sandstone,3084.9,2162.0
104690,sandstone,3435.9,2084.0
104709,sandstone,3674.4,2084.0
104679,sandstone,3585.9,2162.0
104587,sandstone,4274.1,2428.0
104656,sandstone,3423.9,2162.0
104646,sandstone,3069.6,2162.0
104592,sandstone,4411.5,2428.0
104842,sandstone,3365.7,2066.0
104658,sandstone,3456.9,2162.0
104623,sandstone,4388.1,2395.0
104590,sandstone,4244.7,2428.0
104672,sandstone,3451.5,2162.0
104852,sandstone,5232.0,2117.0
104668,sandstone,3437.1,2162.0
104829,sandstone,3142.8,2066.0
104837,sandstone,3316.8,2066.0
104855,sandstone,4788.0,2117.0
104698,sandstone,3652.8,2084.0
104680,sandstone,3606.6,2162.0
104662,sandstone,3520.5,2162.0
104574,sandstone,3445.5,2428.0
104841,sandstone,3330.0,2066.0
104583,sandstone,4110.6,2428.0
104754,sandstone,3252.9,2160.0
104667,sandstone,3376.5,2162.0
104688,sandstone,3226.2,2084.0
104648,sandstone,3062.1,2162.0
104702,sandstone,3685.2,2084.0
104775,sandstone,3188.1,2045.0
104628,sandstone,4427.4,2395.0
104659,sandstone,3481.2,2162.0
104771,sandstone,3111.6,2045.0
104632,sandstone,4443.3,2395.0
104650,sandstone,3372.9,2162.0
104631,sandstone,4357.2,2395.0
105090,sandstone,3250.0,2440.0
104713,sandstone,5850.0,2138.0
104614,sandstone,4524.6,2428.0
104602,sandstone,4187.4,2428.0
104891,sandstone,3053.7,2126.0
104844,sandstone,3269.4,2066.0
104603,sandstone,4289.1,2428.0
104684,sandstone,3643.8,2162.0
104577,sandstone,3854.1,2428.0
104595,sandstone,4056.6,2428.0
104613,sandstone,4467.6,2428.0
104704,sandstone,3792.0,2084.0
104637,sandstone,4541.4,2395.0
104636,sandstone,4459.5,2395.0
104699,sandstone,3729.3,2084.0
104832,sandstone,3081.3,2066.0
104848,sandstone,3289.0,2117.0
104695,sandstone,3479.1,2084.0
104661,sandstone,3481.2,2162.0
104778,sandstone,3196.2,2045.0
104610,sandstone,4475.4,2428.0
104597,sandstone,4166.1,2428.0
104831,sandstone,3235.8,2066.0
104576,sandstone,3714.9,2428.0
104686,sandstone,3606.6,2162.0
104626,sandstone,4259.4,2395.0
104819,sandstone,3091.5,2108.0
104642,sandstone,3028.5,2162.0
104633,sandstone,4524.6,2395.0
104651,sandstone,3341.1,2162.0
104840,sandstone,3290.7,2066.0
104703,sandstone,3740.7,2084.0
104660,sandstone,3581.1,2162.0
104894,sandstone,5993.0,2061.0
104850,sandstone,4700.0,2117.0
104627,sandstone,4341.9,2395.0
104823,sandstone,3138.6,2108.0
104655,sandstone,3495.9,2162.0
104835,sandstone,3215.1,2066.0
104747,sandstone,3003.3,2160.0
104675,sandstone,3540.0,2162.0
104839,sandstone,3215.1,2066.0
104768,sandstone,3088.2,2045.0
104772,sandstone,3175.8,2045.0
104629,sandstone,4491.9,2395.0
104717,sandstone,5907.0,2138.0
104696,sandstone,3518.4,2084.0
104639,sandstone,4643.7,2395.0
104611,sandstone,4524.6,2428.0
104606,sandstone,4388.1,2428.0
104834,sandstone,3150.9,2066.0
104670,sandstone,3465.9,2162.0
104638,sandstone,4592.1,2395.0
104851,sandstone,4991.0,2117.0
104596,sandstone,4083.6,2428.0
104691,sandstone,3523.5,2084.0
104833,sandstone,3089.1,2066.0
104605,sandstone,4388.1,2428.0
104822,sandstone,3068.4,2108.0
104665,sandstone,3227.4,2162.0
104588,sandstone,4304.1,2428.0
104821,sandstone,3049.5,2108.0
104630,sandstone,4549.8,2395.0
104773,sandstone,3290.1,2045.0
104748,sandstone,3082.2,2160.0
104750,sandstone,3187.8,2160.0
104635,sandstone,4626.3,2395.0
104892,sandstone,3086.4,2126.0
104847,sandstone,3321.3,2066.0
104697,sandstone,3605.1,2084.0
104677,sandstone,3485.4,2162.0
104846,sandstone,3388.2,2066.0
104671,sandstone,3340.2,2162.0
104618,sandstone,3933.9,2395.0
104708,sandstone,3786.0,2084.0
104625,sandstone,4166.1,2395.0
104707,sandstone,3729.3,2084.0
104776,sandstone,3298.8,2045.0
104607,sandstone,4459.5,2428.0
104749,sandstone,3135.9,2160.0
104582,sandstone,4070.1,2428.0
104620,sandstone,4110.6,2395.0
104836,sandstone,3290.7,2066.0
104578,sandstone,3878.4,2428.0
104849,sandstone,3863.0,2117.0
104589,sandstone,4319.1,2428.0
104705,sandstone,3626.1,2084.0
104640,sandstone,4541.4,2395.0
104681,sandstone,3643.8,2162.0
104710,sandstone,3768.0,2138.0
104682,sandstone,3560.1,2162.0
104599,sandstone,4223.1,2428.0
104693,sandstone,3610.2,2084.0
104751,sandstone,3030.3,2160.0
101023,shale,4953.660011,2710.000038
100978,shale,3444.658279,2680.0000670000004
100993,shale,3507.803917,2559.999943
101048,shale,2988.889933,2600.0
100417,shale,3642.0,2460.0
101024,shale,4987.068176,2710.000038
100969,shale,4395.760536,2509.999991
100073,shale,3819.020748,2626.0
101057,shale,3033.329964,2600.0
100050,shale,2402.738333,2354.0
100124,shale,2202.0,2250.0
100999,shale,3893.102884,2559.999943
100052,shale,2509.11665,2354.0
100829,shale,3545.0,2500.0
100063,shale,3726.751328,2605.0
100982,shale,3750.621796,2680.0000670000004
100068,shale,3965.976238,2627.0
100738,shale,5258.46,2550.0
100836,shale,3669.0,2590.0
100082,shale,4408.833504,2597.0
100125,shale,3048.0,2420.0
100436,shale,1490.711927,2295.0000760000003
101108,shale,5191.0,2780.0
100129,shale,4404.0,2310.0
100368,shale,3850.0,2480.0
100977,shale,3238.066435,2680.0000670000004
101004,shale,4722.784042,2559.999943
100963,shale,3787.166357,2509.999991
100986,shale,4484.633922999999,2680.0000670000004
101007,shale,5069.825172,2559.999943
101055,shale,3044.440031,2600.0
100985,shale,4319.342136,2680.0000670000004
100739,shale,5320.42,2550.0
101050,shale,2888.8900280000003,2600.0
100965,shale,3921.541214,2509.999991
100077,shale,3792.983055,2560.0
100046,shale,2290.840864,2319.0
100816,shale,2860.0,2270.0
100814,shale,2980.0,2090.0
100035,shale,3235.11219,2511.0
100033,shale,3442.093372,2408.0
100058,shale,2740.856648,2440.0
100031,shale,3198.837042,2408.0
101005,shale,4792.572498,2559.999943
101013,shale,4024.830818,2710.000038
100120,shale,4130.0,2640.0
100964,shale,3854.939461,2509.999991
100599,shale,3043.0,2492.0
100732,shale,4993.92,2550.0
101056,shale,3024.070025,2600.0
101045,shale,2844.439983,2600.0
100817,shale,2532.0,2260.0
100837,shale,3736.0,2590.0
101100,shale,3119.0,2390.0
100101,shale,3794.0,2560.0
100833,shale,3476.0,2590.0
100034,shale,3117.8882120000003,2511.0
100972,shale,4773.766518,2509.999991
101053,shale,3144.439936,2600.0
100825,shale,3001.0,2500.0
101097,shale,2809.0,2390.0
100080,shale,4265.902042000001,2597.0
100121,shale,4721.0,2640.0
101104,shale,3428.0,2390.0
100071,shale,3728.709459,2626.0
100390,shale,3900.0,2600.0
101111,shale,5244.0,2780.0
100411,shale,3373.0,2400.0
100989,shale,4852.295876,2680.0000670000004
101014,shale,4151.201247999999,2710.000038
100362,shale,3380.0,2220.0
100067,shale,3853.522778,2627.0
100834,shale,3552.0,2590.0
100040,shale,3737.190008,2574.0
101011,shale,3837.088347,2710.000038
100078,shale,3879.533529,2560.0
100991,shale,5022.337914,2680.0000670000004
101109,shale,5207.0,2780.0
100996,shale,3734.342337,2559.999943
100422,shale,3936.0,2580.0
101099,shale,3003.0,2390.0
100045,shale,3374.109507,2535.0
100061,shale,2941.366911,2440.0
100737,shale,5217.91,2550.0
101098,shale,2879.0,2390.0
100971,shale,4664.0095710000005,2509.999991
100366,shale,4210.0,2550.0
100437,shale,3669.515848,2525.000095
100597,shale,3066.0,2510.0
100048,shale,2409.196138,2319.0
100059,shale,2813.171625,2440.0
101101,shale,3209.0,2390.0
100097,shale,3928.0,2590.0
100980,shale,3665.083408,2680.0000670000004
100598,shale,3443.0,2516.0
100365,shale,3290.0,2350.0
100105,shale,5073.0,2680.0
100147,shale,2745.0,2340.0
100962,shale,3750.165939,2509.999991
100835,shale,3602.0,2590.0
100420,shale,3612.0,2470.0
100979,shale,3540.80677,2680.0000670000004
100438,shale,3502.23136,2559.999943
101058,shale,3077.780008,2600.0
100060,shale,2867.997408,2440.0
100069,shale,4067.380428,2627.0
100064,shale,3789.063931,2605.0
100997,shale,3827.327728,2559.999943
100826,shale,3120.0,2500.0
100238,shale,3296.0,2490.0
100838,shale,3777.0,2590.0
101112,shale,5267.0,2780.0
100076,shale,3703.355789,2560.0
100410,shale,3531.0,2450.0
101001,shale,4271.087170000001,2559.999943
100973,shale,4876.972675,2509.999991
100815,shale,2902.0,2130.0
100828,shale,3436.0,2500.0
101062,shale,3466.670036,2600.0
100364,shale,3510.0,2340.0
100032,shale,3360.904932,2408.0
100367,shale,3720.0,2380.0
101102,shale,3291.0,2390.0
100984,shale,4124.915123,2680.0000670000004
100425,shale,3537.0,2470.0
100036,shale,3314.162254,2511.0
100418,shale,3214.0,2420.0
100092,shale,4529.0,2520.0
101103,shale,3361.0,2390.0
100394,shale,4158.0,2567.0
100057,shale,3353.5671230000003,2439.0
100416,shale,3522.0,2410.0
100818,shale,2615.0,2180.0
101016,shale,4376.218796,2710.000038
101019,shale,4646.150589,2710.000038
100831,shale,3246.0,2590.0
100433,shale,2429.502249,2338.000059
100043,shale,3222.822905,2535.0
100987,shale,4615.839005,2680.0000670000004
100053,shale,2530.191422,2354.0
100832,shale,3392.0,2590.0
100990,shale,4921.018124,2680.0000670000004
100551,shale,3081.0,2450.0
100065,shale,3839.385748,2605.0
101042,shale,2933.330059,2600.0
100970,shale,4534.067631,2509.999991
100081,shale,4333.960056,2597.0
100042,shale,3911.908865,2574.0
101010,shale,3774.06168,2710.000038
101003,shale,4614.006996,2559.999943
100976,shale,5181.948662,2509.999991
100434,shale,1672.118664,2289.000034
101015,shale,4212.965488,2710.000038
100054,shale,3080.177784,2439.0
101002,shale,4410.569668,2559.999943
101106,shale,5172.0,2780.0
100079,shale,4173.278332,2597.0
101017,shale,4451.460362,2710.000038
100968,shale,4224.761009000001,2509.999991
100363,shale,3460.0,2330.0
100415,shale,3880.0,2490.0
100216,shale,3048.0,2420.0
100413,shale,3512.0,2450.0
101114,shale,5284.0,2780.0
100038,shale,3379.433155,2499.0
100426,shale,3480.0,2480.0
100966,shale,3956.939459,2509.999991
100072,shale,3774.891853,2626.0
100126,shale,3377.0,2420.0
101020,shale,4752.160072,2710.000038
101107,shale,5181.0,2780.0
100074,shale,3870.524645,2626.0
100432,shale,2989.703894,2562.000036
100981,shale,3730.671406,2680.0000670000004
100049,shale,2449.137688,2319.0
100066,shale,3902.359009,2605.0
101043,shale,2900.000095,2600.0
100994,shale,3573.994637,2559.999943
101008,shale,5134.899139,2559.999943
100055,shale,3214.996576,2439.0
101009,shale,3067.506075,2710.000038
100107,shale,4296.0,2660.0
100974,shale,4978.039264999999,2509.999991
100056,shale,3287.508011,2439.0
100736,shale,5180.48,2550.0
101063,shale,3441.8400880000004,2600.0
100735,shale,5159.53,2550.0
100435,shale,1694.716096,2298.000097
101018,shale,4549.847126,2710.000038
100047,shale,2357.632399,2319.0
100051,shale,2464.704037,2354.0
100128,shale,4167.0,2310.0
100998,shale,3862.884522,2559.999943
101105,shale,3453.0,2390.0
100062,shale,3004.095554,2440.0
101113,shale,5267.0,2780.0
100424,shale,3536.0,2430.0
100992,shale,5092.429161,2680.0000670000004
100044,shale,3324.643374,2535.0
100975,shale,5077.095032,2509.999991
